
n_distract 0.4834173778122575 0.07572619219943519 0.352211016291699 0.6004654771140419
s_distract 0.4781284572833436 0.05384618900708551 0.3915181315304241 0.5660725261216963
same 0.539473684210526 0.04731356472727943 0.47368421052631576 0.631578947368421
e_distract 0.5039878654164368 0.06907541637141133 0.39161610590182017 0.6293436293436293
s 0.5528333333333335 0.09394309743432484 0.4 0.7
n 0.7278333333333328 0.09665387846445914 0.5666666666666667 0.8666666666666667
e 0.6500000000000005 0.09877021593352064 0.5 0.8
r_distract 0.32340852130325837 0.0798552580207241 0.20300751879699247 0.4644945697577276
R 0.7472440944881885 0.0610401298474652 0.6496062992125984 0.8346456692913385



python char-lm-ud-stationary-separate-bidir-with-spaces-probe-baseline-prediction-wiki-plurals-2-tests.py --language german --batchSize 128 --char_embedding_size 100 --hidden_dim 1024 --layer_num 2 --weight_dropout_in 0.1 --weight_dropout_hidden 0.35 --char_dropout_prob 0.0 --char_noise_prob 0.01 --learning_rate 0.2 --load-from wiki-autoencoder
