acker äcker
altvogel altvögel
apfel äpfel
boden böden
bruder brüder
faden fäden
fensterladen fensterläden
fingernagel fingernägel
folgeschaden folgeschäden
garten gärten
gesundheitsschaden gesundheitsschäden
graben gräben
gründervater gründerväter
hafen häfen
jungvogel jungvögel
kachelofen kachelöfen
kindergarten kindergärten
kleingarten kleingärten
kloster klöster
kriegsschaden kriegsschäden
laden läden
magen mägen
mangel mängel
metallfaden metallfäden
mutter mütter
nagel nägel
resonanzboden resonanzböden
schaden schäden
schützengraben schützengräben
stengel stängel
tochter töchter
umweltschaden umweltschäden
urgroßvater urgroßväter
verkehrsflughafen verkehrsflughäfen
vogel vögel
wasservogel wasservögel
