abbildung abbildungen
abfolge abfolgen
abgabe abgaben
abgabenlast abgabenlasten
abgeordnete abgeordneten
abkürzung abkürzungen
ablagerung ablagerungen
absatzzahl absatzzahlen
abschreibungsmöglichkeit abschreibungsmöglichkeiten
absolvent absolventen
absperrung absperrungen
abteilung abteilungen
abtreibung abtreibungen
abweichung abweichungen
achse achsen
adelsfamilie adelsfamilien
adresse adressen
agent agenten
akazie akazien
akkumulator akkumulatoren
aktie aktien
aktion aktionen
aktive aktiven
aktivist aktivisten
aktivität aktivitäten
album alben
algorithmus algorithmen
alliiert alliierten
alliierte alliierten
alpinist alpinisten
altbau altbauten
alternative alternativen
altersklasse altersklassen
altersstufe altersstufen
amateurmannschaft amateurmannschaften
ameise ameisen
amerikanist amerikanisten
aminosäure aminosäuren
ammonit ammoniten
amphibienart amphibienarten
amphibium amphibien
amphore amphoren
amtszeit amtszeiten
analyse analysen
anbaufläche anbauflächen
andeutung andeutungen
anfangszeit anfangszeiten
anfeindung anfeindungen
anforderung anforderungen
angabe angaben
angehörige angehörigen
angeklagter angeklagten
angelegenheit angelegenheiten
angestellte angestellten
animation animationen
anlage anlagen
anlagemöglichkeit anlagemöglichkeiten
anleihe anleihen
anmeldung anmeldungen
anmerkung anmerkungen
anregung anregungen
anschaffung anschaffungen
anschlußstelle anschlussstellen
anschuldigung anschuldigungen
ansicht ansichten
anstrengung anstrengungen
antenne antennen
anthologie anthologien
antiquität antiquitäten
anweisung anweisungen
anwendung anwendungen
anzahlung anzahlungen
applikation applikationen
arbeitskollege arbeitskollegen
arbeitslose arbeitslosen
arbeitslosenzahl arbeitslosenzahlen
arbeitszeit arbeitszeiten
arbeitszeitverkürzung arbeitszeitverkürzungen
architektur architekturen
archäologe archäologen
arkade arkaden
art arten
arterie arterien
artist artisten
asche aschen
asoziale asozialen
aspirant aspiranten
athlet athleten
atomrakete atomraketen
attrappe attrappen
aufbau aufbauten
aufgabe aufgaben
auflage auflagen
aufnahme aufnahmen
aufstandsbewegung aufstandsbewegungen
aufständische aufständischen
aufzeichnung aufzeichnungen
auge augen
ausbau ausbauten
ausbildungsstätte ausbildungsstätten
auseinandersetzung auseinandersetzungen
ausflugsmöglichkeit ausflugsmöglichkeiten
ausfuhr ausfuhren
ausführung ausführungen
ausgabe ausgaben
ausgegrenzte ausgegrenzten
ausgleichszahlung ausgleichszahlungen
ausgrabung ausgrabungen
aushilfe aushilfen
auslandsverbindung auslandsverbindungen
auslandsvertretung auslandsvertretungen
ausleihe ausleihen
ausnahme ausnahmen
aussage aussagen
ausschreibung ausschreibungen
aussicht aussichten
ausstattung ausstattungen
ausstellung ausstellungen
ausstellungsbau ausstellungsbauten
auswertung auswertungen
auswirkung auswirkungen
auszeichnung auszeichnungen
auszubildende auszubildenden
autobahn autobahnen
autobahnabfahrt autobahnabfahrten
autobatterie autobatterien
autor autoren
autorin autorinnen
autorität autoritäten
autostraße autostrassen
autostraße autostraßen
badende badenden
bahn bahnen
bahnanlage bahnanlagen
bahnfahrt bahnfahrten
bahngleis bahngleisen
bahnstrecke bahnstrecken
ballsportart ballsportarten
banane bananen
bande banden
bandit banditen
bank banken
bankkunde bankkunden
baracke baracken
barke barken
batterie batterien
bau bauten
bauarbeit bauarbeiten
bauer bauern
bauernpartei bauernparteien
baumaschine baumaschinen
baumaßnahme baumaßnahmen
baureihe baureihen
bayer bayern
beamte beamten
beamter beamten
bearbeitung bearbeitungen
bebauung bebauungen
bedeutung bedeutungen
bedienung bedienungen
bedingung bedingungen
beduine beduinen
befindlichkeit befindlichkeiten
begegnung begegnungen
begleiterscheinung begleiterscheinungen
behandlung behandlungen
behandlungsmaßnahme behandlungsmaßnahmen
behandlungsmethode behandlungsmethoden
behauptung behauptungen
behausung behausungen
behinderte behinderten
behörde behörden
beitragsanhebung beitragsanhebungen
bekleidungsvorschrift bekleidungsvorschriften
belastung belastungen
belegabteilung belegabteilungen
belüftungsanlage belüftungsanlagen
bemühung bemühungen
beobachtung beobachtungen
beratungsstelle beratungsstellen
berechtigte berechtigten
berglage berglagen
bergwertung bergwertungen
besatzung besatzungen
beschreibung beschreibungen
beschränkung beschränkungen
beschuldigte beschuldigten
beschwerde beschwerden
beschäftigte beschäftigten
beschäftigter beschäftigten
bestellung bestellungen
bestimmung bestimmungen
bestleistung bestleistungen
bestrebung bestrebungen
besucherzahl besucherzahlen
beteiligte beteiligten
beteiligung beteiligungen
betrachtung betrachtungen
betriebsstelle betriebsstellen
betriebsstörung betriebsstörungen
betroffene betroffenen
bevölkerungszahl bevölkerungszahlen
bewegung bewegungen
bewertung bewertungen
bezeichnung bezeichnungen
beziehung beziehungen
bibliothek bibliotheken
biene bienen
biermarke biermarken
bildend bildenden
bildinformation bildinformationen
billion billionen
bindung bindungen
bindungsstelle bindungsstellen
biogasanlage biogasanlagen
biologe biologen
birke birken
birne birnen
blockade blockaden
blume blumen
blüte blüten
bohne bohnen
bohrung bohrungen
botschaft botschaften
botschaftskanzlei botschaftskanzleien
brasilianerin brasilianerinnen
briefmarke briefmarken
brigade brigaden
brite briten
bronzetür bronzetüren
brutkolonie brutkolonien
brücke brücken
bube buben
buchstabe buchstaben
bundesvorsitzende bundesvorsitzenden
burg burgen
busverbindung busverbindungen
büffelherde büffelherden
chance chancen
chiffre chiffren
chinese chinesen
christ christen
computerspiel computerspielen
dachschräge dachschrägen
dame damen
