accessoire accessoires
anschluß anschluss
arrangement arrangements
artikel artikels
aufschluß aufschluss
ausfluß ausfluss
auto autos
band bands
beat beats
bewerbungsfoto bewerbungsfotos
büro büros
city cities
club clubs
code codes
cousin cousins
detail details
dock docks
duo duos
engagement engagements
ensemble ensembles
essay essays
extra extras
fan fans
festival festivals
fluß fluss
foto fotos
franc francs
gebiß gebiss
geschwader geschwaders
gorilla gorillas
großstreik großstreiks
hit hits
hotel hotels
hotelier hoteliers
industriepark industrieparks
infanterieregiment infanterieregiments
inka inkas
interview interviews
israeli israelis
jahrhundert jahrhunderts
job jobs
kamera kameras
kanu kanus
kino kinos
klischee klischees
klub klubs
kommando kommandos
label labels
lama lamas
luftballon luftballons
match matches
militär militärs
musikensemble musikensembles
mädel mädels
nachtclub nachtclubs
nationalkomitee nationalkomitees
nationalpark nationalparks
nazi nazis
oscar oscars
park parks
party partys
paßfoto passfotos
profi profis
prädikat prädikats
quarterback quarterbacks
regiment regiments
relief reliefs
restaurant restaurants
sandsteinrelief sandsteinreliefs
schulabschluß schulabschluss
sekretär sekretärs
show shows
single singles
sommerhit sommerhits
song songs
souvenir souvenirs
special specials
staatschef staatschefs
standard standards
start starts
streß stress
team teams
test tests
tip tipps
tip tips
torpedo torpedos
training trainings
tram trams
trend trends
tunnel tunnels
typ typs
verzicht verzichts
video videos
warnstreik warnstreiks
waschsalon waschsalons
werbespot werbespots
yard yards
zivilsenat zivilsenats
