abend abende
abfall abfälle
abgang abgänge
abkömmling abkömmlinge
ablauf abläufe
abort aborte
abreißen abrisse
abriß abrisse
absatz absätze
abschnitt abschnitte
abstrich abstriche
achsenmacht achsenmächte
akkord akkorde
akteur akteure
aktionär aktionäre
akzent akzente
alleinerziehend alleinerziehende
altaktionär altaktionäre
amateur amateure
amateurverein amateurvereine
anfang anfänge
angebot angebote
angriff angriffe
angriffspunkt angriffspunkte
angst ängste
anlagenteil anlagenteile
anlauf anläufe
anruf anrufe
ansatz ansätze
ansatzpunkt ansatzpunkte
anschlag anschläge
anspruch ansprüche
anteil anteile
antrag anträge
antrieb antriebe
anzeigenauftrag anzeigenaufträge
anzug anzüge
apparat apparate
aquädukt aquädukte
arbeitgeberverband arbeitgeberverbände
arbeitsbereich arbeitsbereiche
arbeitskraft arbeitskräfte
arbeitspapier arbeitspapiere
arbeitsplatz arbeitsplätze
arbeitsplatzverlust arbeitsplatzverluste
argument argumente
arzt ärzte
aspekt aspekte
ast äste
atemweg atemwege
aufführungsort aufführungsorte
aufsatz aufsätze
aufstand aufstände
auftrag aufträge
auftritt auftritte
augenarzt augenärzte
augenblick augenblicke
ausdruck ausdrücke
ausflug ausflüge
auskunft auskünfte
ausnahmerecht ausnahmerechte
ausrüstungsgegenstand ausrüstungsgegenstände
ausschnitt ausschnitte
ausschuß ausschüsse
austauschprogramm austauschprogramme
australisch australische
auszug auszüge
außenplatz außenplätze
bach bäche
bahnhof bahnhöfe
bahnsteig bahnsteige
balkon balkone
band bände
baron barone
bataillon bataillone
bauchtanzkurs bauchtanzkurse
bauernhof bauernhöfe
baugebiet baugebiete
baum bäume
baurest baureste
bausatz bausätze
baustein bausteine
baustil baustile
bauteil bauteile
bauwerk bauwerke
beamter beamte
bedürfnis bedürfnisse
befehl befehle
befreiungskrieg befreiungskriege
befugnis befugnisse
begriff begriffe
behördengang behördengänge
bein beine
beispiel beispiele
beitrag beiträge
belang belange
beleg belege
bereich bereiche
berg berge
bergwerk bergwerke
bericht berichte
beruf berufe
berufsjahr berufsjahre
besatzungsmacht besatzungsmächte
beschluß beschlüsse
beschwerdebrief beschwerdebriefe
bestand bestände
bestandteil bestandteile
bestechungsvorwurf bestechungsvorwürfe
besuch besuche
betrag beträge
betrieb betriebe
betriebsergebnis betriebsergebnisse
betriebssystem betriebssysteme
beweis beweise
bewässerungssystem bewässerungssysteme
bezirk bezirke
bezug bezüge
bildteppich bildteppiche
binnenschiff binnenschiffe
bioprodukt bioprodukte
bischof bischöfe
blauhelm blauhelme
block blöcke
blumenmotiv blumenmotive
blütenstand blütenstände
bodenschatz bodenschätze
bodenverhältnis bodenverhältnisse
boot boote
brand brände
brennstab brennstäbe
brief briefe
briefumschlag briefumschläge
bruch brüche
brückenkopf brückenköpfe
brückenteil brückenteile
bus busse
börsengeschäft börsengeschäfte
bündnis bündnisse
bürgerprotest bürgerproteste
charakter charaktere
charterflug charterflüge
chefredakteur chefredakteure
chor chöre
computerprogramm computerprogramme
damhirsch damhirsche
deichbruch deichbrüche
derivat derivate
deutsch deutsche
diagramm diagramme
dieb diebe
dienst dienste
dienstfrei dienstfreie
dienstraum diensträume
ding dinge
diplom diplome
distrikt distrikte
dokument dokumente
dreieck dreiecke
duft düfte
dutzend dutzende
effekt effekte
eichenbestand eichenbestände
eilzug eilzüge
eindruck eindrücke
einfluß einflüsse
eingang eingänge
eingriff eingriffe
einrichtungsgegenstand einrichtungsgegenstände
einsatz einsätze
einsatzgebiet einsatzgebiete
einschluß einschlüsse
eintrag einträge
einzelverkauf einzelverkäufe
eisenbahnzug eisenbahnzüge
eiweißmolekül eiweißmoleküle
element elemente
empfang empfänge
entscheidungsspiel entscheidungsspiele
entwurf entwürfe
epigramm epigramme
erbmerkmal erbmerkmale
ereignis ereignisse
erfolg erfolge
erfordernis erfordernisse
ergebnis ergebnisse
erinnerungsstück erinnerungsstücke
erkenntnis erkenntnisse
erlebnis erlebnisse
ernteausfall ernteausfälle
eroberungsfeldzug eroberungsfeldzüge
ersparnis ersparnisse
erzbischof erzbischöfe
erzeugnis erzeugnisse
exemplar exemplare
experiment experimente
explosivstoff explosivstoffe
exponat exponate
export exporte
extrem extreme
facharzt fachärzte
fachbereich fachbereiche
fahrgast fahrgäste
fahrzeug fahrzeuge
fall fälle
familienbetrieb familienbetriebe
familienkonflikt familienkonflikte
farbstoff farbstoffe
faserstoff faserstoffe
faustkeil faustkeile
fehlalarm fehlalarme
feldzug feldzüge
felsblock felsblöcke
fernsehauftritt fernsehauftritte
fernsehfilm fernsehfilme
festspiel festspiele
fichtenforst fichtenforste
film filme
filmrecht filmrechte
filmregisseur filmregisseure
finanzierungsinstrument finanzierungsinstrumente
finanzinstitut finanzinstitute
finanzproblem finanzprobleme
fingerabdruck fingerabdrücke
fisch fische
fledermaus fledermäuse
flug flüge
flugzeug flugzeuge
flurgehölz flurgehölze
fluß flüsse
flußabschnitt flussabschnitte
flußlauf flussläufe
flüchtling flüchtlinge
formular formulare
forschungsbericht forschungsberichte
forschungsinstitut forschungsinstitute
forschungsprojekt forschungsprojekte
fragment fragmente
freizeitangebot freizeitangebote
freund freunde
frucht früchte
fund funde
fundament fundamente
fundamentrest fundamentreste
fundort fundorte
fundstück fundstücke
funkspruch funksprüche
fuß füße
fußballplatz fußballplätze
fußtritt fußtritte
fährschiff fährschiffe
förderverein fördervereine
führungskraft führungskräfte
gang gänge
gast gäste
gastspiel gastspiele
gebiet gebiete
gebrauch gebräuche
gebrauchsgegenstand gebrauchsgegenstände
gebäudeteil gebäudeteile
gedicht gedichte
gefangener gefangene
gefecht gefechte
gefühl gefühle
gegenstand gegenstände
geheimnis geheimnisse
gehöft gehöfte
gemeinderat gemeinderäte
general generäle
gericht gerichte
gerichtsprozeß gerichtsprozesse
gerät geräte
geräusch geräusche
gerücht gerüchte
gesang gesänge
geschehnis geschehnisse
geschoß geschosse
geschäft geschäfte
geschäftsfreund geschäftsfreunde
geschütz geschütze
gesetz gesetze
gespräch gespräche
gestein gesteine
gestüt gestüte
getreideüberschuß getreideüberschüsse
getränk getränke
getränkepreis getränkepreise
gewerbegebiet gewerbegebiete
gewinn gewinne
gift gifte
gleichnis gleichnisse
gleis gleise
golfturnier golfturniere
gottesdienst gottesdienste
gouverneur gouverneure
grabmal grabmale
grabstein grabsteine
grat grate
grenzstein grenzsteine
grenzwert grenzwerte
großkonzern großkonzerne
großkraftwerk großkraftwerke
großstadt großstädte
großverband großverbände
grund gründe
grundrecht grundrechte
grundriß grundrisse
grundstück grundstücke
grundwert grundwerte
gutsbezirk gutsbezirke
güterzug güterzüge
haar haare
halm halme
hand hände
handelsschiff handelsschiffe
handelsvertrag handelsverträge
hang hänge
hauptkraft hauptkräfte
hausgerät hausgeräte
haushalt haushalte
heimspiel heimspiele
heimtier heimtiere
hemmstoff hemmstoffe
hering heringe
herzog herzöge
hilfsangebot hilfsangebote
hinderungsgrund hinderungsgründe
hinspiel hinspiele
hintergrund hintergründe
hinweis hinweise
hof höfe
hoheitsrecht hoheitsrechte
hohlraum hohlräume
holzsteg holzstege
hund hunde
häftling häftlinge
höhepunkt höhepunkte
hörfunkprogramm hörfunkprogramme
hörgerät hörgeräte
hörspiel hörspiele
hülsenfrucht hülsenfrüchte
immobiliengeschäft immobiliengeschäfte
import importe
impuls impulse
industriearbeitsplatz industriearbeitsplätze
industriebetrieb industriebetriebe
industriebezirk industriebezirke
ingenieur ingenieure
inhalt inhalte
innenhof innenhöfe
innenstadt innenstädte
institut institute
instrument instrumente
intervall intervalle
jagdflugzeug jagdflugzeuge
jahr jahre
jahrhundert jahrhunderte
jahrtausend jahrtausende
jahrzehnt jahrzehnte
jung jüngere
jungfisch jungfische
jungkoch jungköche
jungtier jungtiere
kampf kämpfe
kampfflugzeug kampfflugzeuge
kanal kanäle
katapult katapulte
katholisch katholische
keim keime
kenntnis kenntnisse
kieselstein kieselsteine
klassengegensatz klassengegensätze
klassenunterschied klassenunterschiede
klavierkonzert klavierkonzerte
kleidungsstück kleidungsstücke
knick knicke
kolonialgebiet kolonialgebiete
kommentar kommentare
kommissar kommissare
kondensationskern kondensationskerne
konflikt konflikte
kongreß kongresse
konkurrenzkampf konkurrenzkämpfe
konsenspunkt konsenspunkte
kontakt kontakte
kontrast kontraste
konzept konzepte
konzern konzerne
konzert konzerte
kopf köpfe
kopfhaar kopfhaare
kostüm kostüme
kraft kräfte
kraftwerk kraftwerke
krampf krämpfe
kredit kredite
kreditinstitut kreditinstitute
kreis kreise
kreistanz kreistänze
kreuz kreuze
kreuzfahrtschiff kreuzfahrtschiffe
krieg kriege
kriegsereignis kriegsereignisse
kriegsschiff kriegsschiffe
kristall kristalle
kuh kühe
kulturdenkmal kulturdenkmale
kundenbedürfnis kundenbedürfnisse
kunst künste
kunstgegenstand kunstgegenstände
kunstschatz kunstschätze
kunststoff kunststoffe
kunstwerk kunstwerke
kupferstich kupferstiche
kurs kurse
kursraum kursräume
könig könige
küstenstadt küstenstädte
laborwert laborwerte
landesteil landesteile
landkreis landkreise
landrat landräte
landstand landstände
landwirt landwirte
langfilm langfilme
lauf läufe
laufwerk laufwerke
lebensraum lebensräume
lehrplan lehrpläne
leitungsorgan leitungsorgane
lesegerät lesegeräte
lichtjahr lichtjahre
liebesroman liebesromane
ligaspiel ligaspiele
livekonzert livekonzerte
lohn löhne
luftangriff luftangriffe
luftstreitkraft luftstreitkräfte
länderspiel länderspiele
macht mächte
machtkampf machtkämpfe
magenproblem magenprobleme
mal male
mandat mandate
manuskript manuskripte
marin marine
markenrecht markenrechte
markt märkte
maschinengewehr maschinengewehre
mauerrest mauerreste
mauerteil mauerteile
maß maße
maßstab maßstäbe
medikament medikamente
meeresfisch meeresfische
mehrwertdienst mehrwertdienste
menschenrecht menschenrechte
merkmal merkmale
messerstich messerstiche
metall metalle
meßwert messwerte
milchzahn milchzähne
mindestlohn mindestlöhne
mischbetrieb mischbetriebe
missionar missionare
mittler mittlere
mobiltelefon mobiltelefone
modell modelle
modul module
molekül moleküle
monat monate
monument monumente
mord morde
motiv motive
munitionsteil munitionsteile
musikinstrument musikinstrumente
musikverlag musikverlage
mönch mönche
münzfund münzfunde
nachbarort nachbarorte
nachbarstadt nachbarstädte
nachdruck nachdrucke
nacht nächte
nachteil nachteile
nachweis nachweise
naherholungsgebiet naherholungsgebiete
nahverkehrszug nahverkehrszüge
naturreservat naturreservate
nebenraum nebenräume
netz netze
neuzugang neuzugänge
not nöte
nutzfahrzeug nutzfahrzeuge
nutzungsanspruch nutzungsansprüche
nutzungsplan nutzungspläne
nuß nüsse
objekt objekte
offizier offiziere
olivenbaum olivenbäume
olivenhain olivenhaine
omnibus omnibusse
orgelkonzert orgelkonzerte
ort orte
ortsteil ortsteile
paar paare
paaren paare
paket pakete
paketdienst paketdienste
palast paläste
papier papiere
parkplatz parkplätze
parlament parlamente
parteifreund parteifreunde
passagier passagiere
patrouillenboot patrouillenboote
paß pässe
pfadfinderverband pfadfinderverbände
pferd pferde
pfirsich pfirsiche
pflanzenrest pflanzenreste
pharmaprodukt pharmaprodukte
phänomen phänomene
pilgerzug pilgerzüge
pilotprojekt pilotprojekte
pilz pilze
plakat plakate
plan pläne
platz plätze
pogrom pogrome
pokal pokale
posaunenchor posaunenchöre
positiv positive
preis preise
privatgeheimnis privatgeheimnisse
proberaum proberäume
problem probleme
produkt produkte
projekt projekte
protest proteste
prozeß prozesse
präriehund präriehunde
präventivangriff präventivangriffe
punkt punkte
punktspiel punktspiele
radwanderweg radwanderwege
rang ränge
ratschlag ratschläge
raubtier raubtiere
raum räume
rechnersystem rechnersysteme
redakteur redakteure
reell reelle
reformiert reformierte
reformplan reformpläne
regenfall regenfälle
regenschirm regenschirme
regierungsbezirk regierungsbezirke
regierungsjahr regierungsjahre
reh rehe
rest reste
restaurationsbetrieb restaurationsbetriebe
resultat resultate
ring ringe
rohr rohre
rohstoff rohstoffe
roman romane
rotwein rotweine
ruf rufe
rückerstattungsantrag rückerstattungsanträge
sabotageakt sabotageakte
saisonspiel saisonspiele
sandsteinblock sandsteinblöcke
satz sätze
schacht schächte
schaf schafe
schaltjahr schaltjahre
schamhaar schamhaare
schatz schätze
schein scheine
schicksal schicksale
schienenfahrzeug schienenfahrzeuge
schiff schiffe
schiffsunglück schiffsunglücke
schlafplatz schlafplätze
schlag schläge
schlaginstrument schlaginstrumente
schloßhof schlosshöfe
schmetterling schmetterlinge
schneeball schneebälle
schnellboot schnellboote
schnellzug schnellzüge
schornstein schornsteine
schrein schreine
schriftsystem schriftsysteme
schritt schritte
schuh schuhe
schuß schüsse
schwan schwäne
schwerpunkt schwerpunkte
sediment sedimente
seestreitkraft seestreitkräfte
segment segmente
sehnsucht sehnsüchte
seil seile
seitenschiff seitenschiffe
seitenwand seitenwände
seminar seminare
sicherungssystem sicherungssysteme
siedlungsgebiet siedlungsgebiete
sieg siege
siegerentwurf siegerentwürfe
signal signale
silbern silberne
singspiel singspiele
sinneseindruck sinneseindrücke
sinnesorgan sinnesorgane
sinnspruch sinnsprüche
sitz sitze
sitzplatz sitzplätze
sohn söhne
sonderflug sonderflüge
sonderwunsch sonderwünsche
sonderzug sonderzüge
songtext songtexte
sonnenkraftwerk sonnenkraftwerke
souveränitätsanspruch souveränitätsansprüche
sozialbeitrag sozialbeiträge
speiseraum speiseräume
speisesaal speisesäle
spezialpapier spezialpapiere
spezialschiff spezialschiffe
spiel spiele
spielfilm spielfilme
spieltag spieltage
spitzenfunktionär spitzenfunktionäre
sportereignis sportereignisse
sportplatz sportplätze
sportverband sportverbände
