abgeordnete abgeordneter
adlige adliger
altertum altertümer
amt ämter
amtmann amtmänner
angestellte angestellter
auftragsbuch auftragsbücher
ausländerkind ausländerkinder
bad bäder
band bänder
bandmitglied bandmitglieder
baudenkmal baudenkmäler
beauftragte beauftragter
bergwald bergwälder
besatzungskind besatzungskinder
bild bilder
blatt blätter
bodendenkmal bodendenkmäler
buch bücher
bundesland bundesländer
dach dächer
deckblatt deckblätter
denkmal denkmäler
doppelhaus doppelhäuser
dorf dörfer
drehbuch drehbücher
ehrenamt ehrenämter
ei eier
einfamilienhaus einfamilienhäuser
entwicklungland entwicklungländer
entwicklungsland entwicklungsländer
fach fächer
fahrrad fahrräder
feld felder
finanzbeamte finanzbeamter
flußtal flusstäler
flüchtlingskind flüchtlingskinder
geberland geberländer
geist geister
geld gelder
gemeindehaus gemeindehäuser
geschlecht geschlechter
geschäftshaus geschäftshäuser
gesicht gesichter
gott götter
grab gräber
grabfeld grabfelder
gruppenmitglied gruppenmitglieder
gründungsmitglied gründungsmitglieder
gut güter
handlange handlanger
hartholz harthölzer
haus häuser
hausdach hausdächer
heilige heiliger
heimatvertriebene heimatvertriebener
herzogtum herzogtümer
hilfsbedürftige hilfsbedürftiger
hochwald hochwälder
hospital hospitäler
huhn hühner
intellektuelle intellektueller
jugendliche jugendlicher
jüdisch jüdischer
kind kinder
kinderbuch kinderbücher
kirchenglied kirchenglieder
klagelied klagelieder
klubmitglied klubmitglieder
korn körner
krankenhaus krankenhäuser
kulturgut kulturgüter
königsgrab königsgräber
lagerhaus lagerhäuser
land länder
landhaus landhäuser
laubblatt laubblätter
lehrbeauftragte lehrbeauftragter
lied lieder
loch löcher
mann männer
massengut massengüter
mitglied mitglieder
motorrad motorräder
naturbild naturbilder
oberhaupt oberhäupter
ortsgruppenvorsitzende ortsgruppenvorsitzender
pollenkorn pollenkörner
problemfeld problemfelder
rad räder
rathaus rathäuser
regenwald regenwälder
regiment regimenter
reisende reisender
rittergut rittergüter
röntgenbild röntgenbilder
rüstungsgut rüstungsgüter
sandbild sandbilder
schulbuch schulbücher
schulkind schulkinder
schutzgeld schutzgelder
schwimmbad schwimmbäder
sein seiner
siebte siebter
sommerhaus sommerhäuser
spital spitäler
sprengloch sprenglöcher
sprichwort sprichwörter
stammesmitglied stammesmitglieder
strauch sträucher
streichholz streichhölzer
tal täler
transportgut transportgüter
tuch tücher
volk völker
vorbild vorbilder
vorsitzende vorsitzender
wald wälder
warenhaus warenhäuser
wasserrad wasserräder
weib weiber
weingut weingüter
wohnhaus wohnhäuser
wort wörter
wurm würmer
zwölfte zwölfter
